keys,en,tr
"Main Menu","Main Menu","Ana Menü"
"New Session","New Session","Yeni Oturum"
"Load Session","Load Session","Oturum Yükle"
"Settings","Settings","Ayarlar"
"New Local Session","New Local Session","Yeni Yerel Oturum"
"New Online Session","New Online Session","Yeni Çevrimiçi Oturum"
"Back","Back","Geri"
"World Name:","World Name:","Dünya Adı:"
"Enter world name","Enter world name","Dünya adını girin"
"Players:","Players:","Oyuncular:"
"Remove","Remove","Kaldır"
"Add Player","Add Player","Oyuncu Ekle"
"Create World","Create World","Dünya Oluştur"
"DEPLOY WORLD","DEPLOY WORLD","DÜNYAYI KUR"
"No saves found","No saves found","Kayıt bulunamadı"
"COMMANDERS","COMMANDERS","KOMUTANLAR"
"TURKEY WARS","TURKEY WARS","TÜRKİYE SAVAŞLARI"
"GRAND STRATEGY","GRAND STRATEGY","BÜYÜK STRATEJİ"
"ARMIES","ARMIES","ORDULAR"
"RETURN TO MAIN MENU","RETURN TO MAIN MENU","ANA MENÜYE DÖN"
"ELIMINATED","ELIMINATED","ELENDİ"
"Name","Name","İsim"
"Strength","Strength","Güç"
"Army Size","Army Size","Ordu Büyüklüğü"
"Very Easy","Very Easy","Çok Kolay"
"Easy","Easy","Kolay"
"Normal","Normal","Normal"
"Strong","Strong","Güçlü"
"Very Strong","Very Strong","Çok Güçlü"
"Unknown","Unknown","Bilinmiyor"
"BLITZ! %s instantly conquers %s","BLITZ! %s instantly conquers %s","YILDIRIM! %s, %s bölgesini anında fethetti"
"Battle: %s vs %s","Battle: %s vs %s","Savaş: %s vs %s"
"Must attack an adjacent province!","Must attack an adjacent province!","Komşu bir bölgeye saldırmalısınız!"
"Attackers","Attackers","Saldıranlar"
"Defenders","Defenders","Savunanlar"
"ATTACKER","ATTACKER","SALDIRAN"
"DEFENDER","DEFENDER","SAVUNAN"
"BUDGET REMAINING","BUDGET REMAINING","KALAN BÜTÇE"
"CONFIRM ORDERS","CONFIRM ORDERS","EMİRLERİ ONAYLA"
"SOLDIER","SOLDIER","ASKER"
"RIFLEMAN","RIFLEMAN","TÜFEKÇİ"
"ROCKET","ROCKET","ROKET"
"TANK","TANK","TANK"
"%s's Attack Force","%s's Attack Force","%s Saldırı Gücü"
"%s's Defense Force","%s's Defense Force","%s Savunma Gücü"
"%s's Capital Defense","%s's Capital Defense","%s Başkent Savunması"
"'s Turn","'s Turn","'in Sırası"
"← BACK","← BACK","← GERİ"
"WORLD NAME","WORLD NAME","DÜNYA ADI"
"Attackers:","Attackers:","Saldıranlar:"
"Defenders:","Defenders:","Savunanlar:"
"Attackers: %d","Attackers: %d","Saldıranlar: %d"
"Defenders: %d","Defenders: %d","Savunanlar: %d"
"Name: ","Name: ","İsim: "
"Strength: ","Strength: ","Güç: "
"Army Size: ","Army Size: ","Ordu Büyüklüğü: "
"Single Player","Single Player","Tek Oyunculu"
"Number of Bots (1-4):","Number of Bots (1-4):","Bot Sayısı (1-4):"
"Commander Name:","Commander Name:","Komutan Adı:"
"Deploy to War","Deploy to War","Savaşa Katıl"
"DEPLOY TO WAR","DEPLOY TO WAR","SAVAŞA KATIL"
"Number of Bots (%d)","Number of Bots (%d)","Bot Sayısı (%d)"
"Bot Battle: %s vs %s","Bot Battle: %s vs %s","Bot Savaşı: %s vs %s"
"VICTORY","VICTORY","ZAFER"
"DEFEAT","DEFEAT","YENİLGİ"
